text,label
"Ritu bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Priya.",ration
"Mere family members ration card me add karne hai, Manoj speaking.",ration
"Pooja hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Suresh.",ration
"Mera ration card update karna hai, Vikas bol raha/rahi hu.",ration
"Mere family members ration card me add karne hai, Amit speaking.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Arjun.",ration
"Rahul yahan, mera ration card list me naam add nahi hua hai.",ration
"Rajesh bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Mera ration card update karna hai, Amit bol raha/rahi hu.",ration
"Kavita hu, ration card download kaise karte hain?",ration
"Mera ration card address change karna hai, Deepak bol raha/rahi hu.",ration
"Anita hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Ritu hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Amit yahan, mera ration card list me naam add nahi hua hai.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Kavita.",ration
"Rajesh bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Vikas.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Rajesh.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Nisha.",ration
Ration card ka status kaise check karu? Nisha puch raha/rahi hu.,ration
"Seema hu, ration card download kaise karte hain?",ration
"Mera ration card update karna hai, Priya bol raha/rahi hu.",ration
"Mera ration card update karna hai, Ritu bol raha/rahi hu.",ration
"Mere family members ration card me add karne hai, Kavita speaking.",ration
"Priya hu, ration card download kaise karte hain?",ration
"Rahul hu, ration card download kaise karte hain?",ration
"Karan hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Nisha bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Ritu yahan, mera ration card list me naam add nahi hua hai.",ration
"Mere family members ration card me add karne hai, Ritu speaking.",ration
"Pooja hu, ration card download kaise karte hain?",ration
"Mera ration card address change karna hai, Pooja bol raha/rahi hu.",ration
"Mere family members ration card me add karne hai, Meena speaking.",ration
"Priya hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Vikas.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Karan.",ration
"Mere family members ration card me add karne hai, Priya speaking.",ration
"Mera ration card update karna hai, Karan bol raha/rahi hu.",ration
"Anita hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Neha yahan, mera ration card list me naam add nahi hua hai.",ration
"Ravi hu, ration card download kaise karte hain?",ration
"Mera ration card update karna hai, Karan bol raha/rahi hu.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Priya.",ration
"Mere family members ration card me add karne hai, Karan speaking.",ration
"Sunita hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Meena bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Amit hu, ration card download kaise karte hain?",ration
"Deepak yahan, mera ration card list me naam add nahi hua hai.",ration
"Suresh bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Amit hu, ration card download kaise karte hain?",ration
"Rajesh hu, ration card download kaise karte hain?",ration
"Manoj hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
Ration card ka status kaise check karu? Suresh puch raha/rahi hu.,ration
"Deepak bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Mera ration card update karna hai, Deepak bol raha/rahi hu.",ration
"Mera ration card address change karna hai, Vikas bol raha/rahi hu.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Seema.",ration
"Mera ration card update karna hai, Ravi bol raha/rahi hu.",ration
"Seema bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Karan.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Suresh.",ration
"Meena yahan, mera ration card list me naam add nahi hua hai.",ration
"Mere family members ration card me add karne hai, Amit speaking.",ration
"Mera ration card update karna hai, Ritu bol raha/rahi hu.",ration
"Rahul bol raha/rahi hu, ration card se naam remove karna hai.",ration
Ration card ka status kaise check karu? Manoj puch raha/rahi hu.,ration
"Mere family members ration card me add karne hai, Deepak speaking.",ration
"Mera ration card update karna hai, Amit bol raha/rahi hu.",ration
"Ritu yahan, mera ration card list me naam add nahi hua hai.",ration
"Anita bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Nisha hu, ration card download kaise karte hain?",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Pooja.",ration
"Rahul hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Ravi.",ration
"Mere family members ration card me add karne hai, Anita speaking.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Rajesh.",ration
"Suresh yahan, mera ration card list me naam add nahi hua hai.",ration
"Amit hu, ration card download kaise karte hain?",ration
"Seema hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Mera ration card update karna hai, Manoj bol raha/rahi hu.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Sunita.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Nisha.",ration
"Arjun hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Sunita hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Pooja hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Ritu.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Seema.",ration
"Deepak yahan, mera ration card list me naam add nahi hua hai.",ration
"Mera ration card address change karna hai, Karan bol raha/rahi hu.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Ravi.",ration
"Mere family members ration card me add karne hai, Rajesh speaking.",ration
"Mera ration card address change karna hai, Meena bol raha/rahi hu.",ration
"Vikas hu, ration card download kaise karte hain?",ration
"Arjun hu, ration card download kaise karte hain?",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Ritu.",ration
"Arjun yahan, mera ration card list me naam add nahi hua hai.",ration
Ration card ka status kaise check karu? Vikas puch raha/rahi hu.,ration
"Mera ration card address change karna hai, Anita bol raha/rahi hu.",ration
"Vikas bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Rajesh hu, ration card download kaise karte hain?",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Priya.",ration
"Arjun hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Mere family members ration card me add karne hai, Vikas speaking.",ration
"Mere family members ration card me add karne hai, Pooja speaking.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Deepak.",ration
"Mera ration card update karna hai, Seema bol raha/rahi hu.",ration
Ration card ka status kaise check karu? Seema puch raha/rahi hu.,ration
"Kavita yahan, mera ration card list me naam add nahi hua hai.",ration
"Mera ration card update karna hai, Anita bol raha/rahi hu.",ration
"Mere family members ration card me add karne hai, Anita speaking.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Arjun.",ration
"Mera ration card update karna hai, Ritu bol raha/rahi hu.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Amit.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Karan.",ration
"Seema yahan, mera ration card list me naam add nahi hua hai.",ration
"Arjun yahan, mera ration card list me naam add nahi hua hai.",ration
"Arjun bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Mera ration card update karna hai, Sunita bol raha/rahi hu.",ration
"Karan yahan, mera ration card list me naam add nahi hua hai.",ration
"Anita bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Arjun hu, ration card download kaise karte hain?",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Vikas.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Ravi.",ration
"Neha bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Seema yahan, mera ration card list me naam add nahi hua hai.",ration
"Anita hu, ration card download kaise karte hain?",ration
"Mera ration card update karna hai, Rahul bol raha/rahi hu.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Priya.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Amit.",ration
"Mere family members ration card me add karne hai, Karan speaking.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Ritu.",ration
"Mera ration card address change karna hai, Arjun bol raha/rahi hu.",ration
"Ritu hu, ration card download kaise karte hain?",ration
"Mera ration card address change karna hai, Ritu bol raha/rahi hu.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Neha.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Meena.",ration
"Pooja hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Mera ration card address change karna hai, Suresh bol raha/rahi hu.",ration
"Amit hu, ration card download kaise karte hain?",ration
"Mera ration card update karna hai, Sunita bol raha/rahi hu.",ration
Ration card ka status kaise check karu? Rajesh puch raha/rahi hu.,ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Kavita.",ration
"Rahul bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Neha hu, ration card download kaise karte hain?",ration
"Mere family members ration card me add karne hai, Karan speaking.",ration
"Seema hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Kavita.",ration
"Mera ration card update karna hai, Manoj bol raha/rahi hu.",ration
Ration card ka status kaise check karu? Ravi puch raha/rahi hu.,ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Priya.",ration
"Amit yahan, mera ration card list me naam add nahi hua hai.",ration
"Mera ration card update karna hai, Amit bol raha/rahi hu.",ration
"Mera ration card address change karna hai, Ravi bol raha/rahi hu.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Rahul.",ration
"Mera ration card update karna hai, Rajesh bol raha/rahi hu.",ration
"Mera ration card update karna hai, Kavita bol raha/rahi hu.",ration
"Mera ration card address change karna hai, Meena bol raha/rahi hu.",ration
"Mera ration card address change karna hai, Anita bol raha/rahi hu.",ration
"Mere family members ration card me add karne hai, Neha speaking.",ration
"Mere family members ration card me add karne hai, Rahul speaking.",ration
"Vikas hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Mera ration card address change karna hai, Sunita bol raha/rahi hu.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Meena.",ration
"Mere family members ration card me add karne hai, Ritu speaking.",ration
"Mere family members ration card me add karne hai, Karan speaking.",ration
"Mera ration card address change karna hai, Sunita bol raha/rahi hu.",ration
"Ravi bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Ritu hu, ration card download kaise karte hain?",ration
"Rahul hu, ration card download kaise karte hain?",ration
"Mera ration card address change karna hai, Rahul bol raha/rahi hu.",ration
"Mera ration card address change karna hai, Meena bol raha/rahi hu.",ration
"Arjun hu, ration card download kaise karte hain?",ration
"Ravi yahan, mera ration card list me naam add nahi hua hai.",ration
"Mera ration card address change karna hai, Amit bol raha/rahi hu.",ration
"Mera ration card address change karna hai, Nisha bol raha/rahi hu.",ration
Ration card ka status kaise check karu? Arjun puch raha/rahi hu.,ration
"Amit hu, ration card download kaise karte hain?",ration
"Mera ration card address change karna hai, Priya bol raha/rahi hu.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Manoj.",ration
"Mera ration card address change karna hai, Deepak bol raha/rahi hu.",ration
"Mera ration card update karna hai, Arjun bol raha/rahi hu.",ration
"Ritu bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Neha yahan, mera ration card list me naam add nahi hua hai.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Kavita.",ration
Ration card ka status kaise check karu? Vikas puch raha/rahi hu.,ration
"Priya bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Nisha hu, ration card download kaise karte hain?",ration
Ration card ka status kaise check karu? Suresh puch raha/rahi hu.,ration
"Meena hu, ration card download kaise karte hain?",ration
"Mera ration card address change karna hai, Karan bol raha/rahi hu.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Sunita.",ration
"Nisha bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Pooja hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
Ration card ka status kaise check karu? Karan puch raha/rahi hu.,ration
"Rajesh yahan, mera ration card list me naam add nahi hua hai.",ration
"Nisha yahan, mera ration card list me naam add nahi hua hai.",ration
"Amit bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Mere family members ration card me add karne hai, Arjun speaking.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Sunita.",ration
Ration card ka status kaise check karu? Manoj puch raha/rahi hu.,ration
"Vikas bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Anita.",ration
"Kavita yahan, mera ration card list me naam add nahi hua hai.",ration
"Mere family members ration card me add karne hai, Nisha speaking.",ration
Ration card ka status kaise check karu? Pooja puch raha/rahi hu.,ration
"Mere family members ration card me add karne hai, Meena speaking.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Meena.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Seema.",ration
"Arjun bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Karan yahan, mera ration card list me naam add nahi hua hai.",ration
"Sunita yahan, mera ration card list me naam add nahi hua hai.",ration
"Nisha bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Nisha.",ration
"Mera ration card address change karna hai, Manoj bol raha/rahi hu.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Deepak.",ration
Ration card ka status kaise check karu? Seema puch raha/rahi hu.,ration
"Mera ration card address change karna hai, Arjun bol raha/rahi hu.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Anita.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Rajesh.",ration
Ration card ka status kaise check karu? Priya puch raha/rahi hu.,ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Nisha.",ration
"Priya hu, ration card download kaise karte hain?",ration
"Mera ration card update karna hai, Priya bol raha/rahi hu.",ration
"Mera ration card address change karna hai, Vikas bol raha/rahi hu.",ration
"Mera ration card address change karna hai, Anita bol raha/rahi hu.",ration
"Mera ration card update karna hai, Vikas bol raha/rahi hu.",ration
"Meena bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Deepak hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Kavita hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Rajesh bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Arjun hu, ration card download kaise karte hain?",ration
"Pooja yahan, mera ration card list me naam add nahi hua hai.",ration
"Meena yahan, mera ration card list me naam add nahi hua hai.",ration
"Mere family members ration card me add karne hai, Suresh speaking.",ration
"Priya yahan, mera ration card list me naam add nahi hua hai.",ration
"Mere family members ration card me add karne hai, Amit speaking.",ration
"Anita hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Vikas yahan, mera ration card list me naam add nahi hua hai.",ration
"Mera ration card update karna hai, Manoj bol raha/rahi hu.",ration
Ration card ka status kaise check karu? Arjun puch raha/rahi hu.,ration
"Neha yahan, mera ration card list me naam add nahi hua hai.",ration
"Amit yahan, mera ration card list me naam add nahi hua hai.",ration
"Mera ration card address change karna hai, Anita bol raha/rahi hu.",ration
"Seema hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Seema hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Ritu yahan, mera ration card list me naam add nahi hua hai.",ration
Ration card ka status kaise check karu? Sunita puch raha/rahi hu.,ration
"Mera ration card update karna hai, Nisha bol raha/rahi hu.",ration
"Pooja yahan, mera ration card list me naam add nahi hua hai.",ration
"Mera ration card update karna hai, Karan bol raha/rahi hu.",ration
"Pooja hu, ration card download kaise karte hain?",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Seema.",ration
"Manoj hu, ration card download kaise karte hain?",ration
"Pooja hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Nisha bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Meena bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Priya yahan, mera ration card list me naam add nahi hua hai.",ration
"Mera ration card update karna hai, Amit bol raha/rahi hu.",ration
"Mere family members ration card me add karne hai, Neha speaking.",ration
Ration card ka status kaise check karu? Priya puch raha/rahi hu.,ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Meena.",ration
Ration card ka status kaise check karu? Rahul puch raha/rahi hu.,ration
"Mere family members ration card me add karne hai, Seema speaking.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Manoj.",ration
Ration card ka status kaise check karu? Amit puch raha/rahi hu.,ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Nisha.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Vikas.",ration
"Suresh hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Mere family members ration card me add karne hai, Priya speaking.",ration
"Ritu hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Nisha.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Rajesh.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Arjun.",ration
"Mera ration card address change karna hai, Pooja bol raha/rahi hu.",ration
"Mera ration card address change karna hai, Neha bol raha/rahi hu.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Pooja.",ration
"Priya yahan, mera ration card list me naam add nahi hua hai.",ration
"Mera ration card update karna hai, Anita bol raha/rahi hu.",ration
"Priya hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Rajesh.",ration
"Karan bol raha/rahi hu, ration card se naam remove karna hai.",ration
Ration card ka status kaise check karu? Pooja puch raha/rahi hu.,ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Ritu.",ration
Ration card ka status kaise check karu? Ravi puch raha/rahi hu.,ration
"Mera ration card address change karna hai, Seema bol raha/rahi hu.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Nisha.",ration
"Ritu hu, ration card download kaise karte hain?",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Suresh.",ration
"Kavita yahan, mera ration card list me naam add nahi hua hai.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Manoj.",ration
Ration card ka status kaise check karu? Deepak puch raha/rahi hu.,ration
"Priya bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Anita.",ration
Ration card ka status kaise check karu? Vikas puch raha/rahi hu.,ration
"Mere family members ration card me add karne hai, Rajesh speaking.",ration
"Mera ration card address change karna hai, Manoj bol raha/rahi hu.",ration
"Mere family members ration card me add karne hai, Seema speaking.",ration
"Kavita bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Mera ration card update karna hai, Manoj bol raha/rahi hu.",ration
"Deepak bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Karan yahan, mera ration card list me naam add nahi hua hai.",ration
Ration card ka status kaise check karu? Suresh puch raha/rahi hu.,ration
"Mera ration card address change karna hai, Meena bol raha/rahi hu.",ration
"Mera ration card update karna hai, Vikas bol raha/rahi hu.",ration
"Mera ration card address change karna hai, Vikas bol raha/rahi hu.",ration
"Mere family members ration card me add karne hai, Seema speaking.",ration
"Seema hu, ration card download kaise karte hain?",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Ritu.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Rajesh.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Neha.",ration
"Mera ration card update karna hai, Ritu bol raha/rahi hu.",ration
"Mera ration card update karna hai, Karan bol raha/rahi hu.",ration
Ration card ka status kaise check karu? Suresh puch raha/rahi hu.,ration
"Mere family members ration card me add karne hai, Suresh speaking.",ration
"Manoj bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Ritu.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Arjun.",ration
"Arjun hu, ration card download kaise karte hain?",ration
"Ritu yahan, mera ration card list me naam add nahi hua hai.",ration
"Mera ration card address change karna hai, Anita bol raha/rahi hu.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Neha.",ration
"Mere family members ration card me add karne hai, Suresh speaking.",ration
"Mere family members ration card me add karne hai, Meena speaking.",ration
"Mera ration card address change karna hai, Kavita bol raha/rahi hu.",ration
"Mera ration card address change karna hai, Anita bol raha/rahi hu.",ration
"Mera ration card update karna hai, Deepak bol raha/rahi hu.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Sunita.",ration
Ration card ka status kaise check karu? Anita puch raha/rahi hu.,ration
"Pooja hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Mera ration card update karna hai, Kavita bol raha/rahi hu.",ration
"Anita hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Anita yahan, mera ration card list me naam add nahi hua hai.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Nisha.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Ravi.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Kavita.",ration
"Manoj hu, ration card download kaise karte hain?",ration
"Manoj hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Mera ration card update karna hai, Karan bol raha/rahi hu.",ration
"Mera ration card update karna hai, Neha bol raha/rahi hu.",ration
"Mera ration card update karna hai, Manoj bol raha/rahi hu.",ration
"Mera ration card address change karna hai, Karan bol raha/rahi hu.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Manoj.",ration
"Mera ration card address change karna hai, Karan bol raha/rahi hu.",ration
"Sunita yahan, mera ration card list me naam add nahi hua hai.",ration
Ration card ka status kaise check karu? Priya puch raha/rahi hu.,ration
